City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Masuguru,TZ,2020-10-19 19:01:30,-11.37,38.42,83.32,52,0,10.11
150,Tsevie,TG,2020-10-19 19:01:30,6.43,1.21,80.6,83,20,10.29
151,Progreso,MX,2020-10-19 19:01:30,21.28,-89.67,89.01,58,75,4.7
152,Thinadhoo,MV,2020-10-19 18:56:54,0.53,72.93,82.49,78,100,11.07
153,Lushnje,AL,2020-10-19 19:01:30,40.94,19.7,51.8,87,59,2.24
154,Cameta,BR,2020-10-19 19:01:30,-2.24,-49.5,90.72,51,100,7.72
155,Shakhovskaya,RU,2020-10-19 19:01:31,56.03,35.51,34.23,89,0,13.78
156,Tazovskiy,RU,2020-10-19 18:56:47,67.47,78.7,17.47,97,1,7.61
157,Nelson Bay,AU,2020-10-19 19:01:31,-32.72,152.15,60.01,100,90,4.7
158,Vilhena,BR,2020-10-19 18:57:25,-12.74,-60.15,81.09,61,98,6.4
159,Port Elizabeth,ZA,2020-10-19 19:01:31,-33.92,25.57,60.8,93,20,10.29
160,Georgetown,MY,2020-10-19 18:58:26,5.41,100.34,82.4,88,20,3.13
161,Comodoro Rivadavia,AR,2020-10-19 19:01:31,-45.87,-67.5,57.2,28,40,26.4
162,Hay River,CA,2020-10-19 19:01:32,60.82,-115.8,26.33,87,0,6.04
163,Vanavara,RU,2020-10-19 19:01:32,60.34,102.28,25.0,96,100,13.69
164,Vanimo,PG,2020-10-19 19:01:32,-2.67,141.3,77.14,85,6,2.95
165,Baykit,RU,2020-10-19 19:01:32,61.67,96.37,24.96,93,100,10.58
166,Vao,NC,2020-10-19 19:01:32,-22.67,167.48,72.75,77,94,18.34
167,Rosarito,MX,2020-10-19 19:01:32,32.33,-117.03,77.0,73,40,9.17
168,Lafia,NG,2020-10-19 19:01:32,8.48,8.52,78.76,81,93,2.82
169,Florianopolis,BR,2020-10-19 19:01:33,-27.61,-48.5,78.8,65,12,18.34
170,Bourg-Les-Valence,FR,2020-10-19 19:01:33,44.96,4.91,59.0,72,100,17.22
171,Ust-Kuyga,RU,2020-10-19 19:01:33,70.02,135.6,11.55,95,100,7.63
172,Svetlyy,RU,2020-10-19 19:01:33,54.67,20.13,46.99,80,40,8.95
173,Poum,NC,2020-10-19 19:01:33,-20.23,164.02,73.45,71,0,8.68
174,Mount Isa,AU,2020-10-19 19:00:21,-20.73,139.5,77.0,19,0,5.82
175,Vilyuysk,RU,2020-10-19 19:00:01,63.76,121.62,19.26,98,100,4.07
176,Arman,RU,2020-10-19 19:01:34,59.7,150.17,29.21,93,100,4.61
177,Macomb,US,2020-10-19 19:00:04,40.46,-90.67,46.0,78,90,12.75
178,Chegdomyn,RU,2020-10-19 19:01:34,51.12,133.02,22.24,85,0,1.97
179,Otane,NZ,2020-10-19 19:01:34,-39.88,176.63,55.0,85,100,11.99
180,Rabo De Peixe,PT,2020-10-19 19:01:34,37.8,-25.58,59.0,87,40,23.04
181,Lilongwe,MW,2020-10-19 19:01:35,-13.97,33.79,75.92,38,0,7.76
182,Wanaka,NZ,2020-10-19 18:59:30,-44.7,169.15,48.0,75,5,5.01
183,Mandalgovi,MN,2020-10-19 19:01:35,45.76,106.27,36.66,65,100,5.37
184,Saint-Pierre,RE,2020-10-19 19:01:35,-21.34,55.48,71.6,78,0,5.82
185,Evensk,RU,2020-10-19 19:01:35,61.95,159.23,37.62,84,81,14.27
186,Santa Cruz,BO,2020-10-19 18:59:05,-17.8,-63.17,96.8,41,40,23.04
187,Ponta Do Sol,PT,2020-10-19 19:01:36,32.67,-17.1,71.6,73,20,4.7
188,Chicama,PE,2020-10-19 19:01:36,-7.84,-79.15,64.4,82,20,11.41
189,Ulundi,ZA,2020-10-19 19:01:36,-28.34,31.42,71.58,77,12,1.34
190,Mahebourg,MU,2020-10-19 19:01:36,-20.41,57.7,75.2,69,40,11.41
191,Nome,US,2020-10-19 19:01:36,64.5,-165.41,37.4,93,90,4.7
192,Mogadishu,SO,2020-10-19 19:01:37,2.04,45.34,79.3,84,0,12.44
193,Katsuura,JP,2020-10-19 19:01:37,35.13,140.3,57.2,82,100,10.29
194,Hashtrud,IR,2020-10-19 19:01:37,37.48,47.05,54.37,37,0,0.65
195,Porto Novo,BJ,2020-10-19 19:01:37,6.5,2.6,80.6,88,40,12.75
196,Samarai,PG,2020-10-19 19:01:37,-10.62,150.67,79.21,87,10,8.7
197,Tura,IN,2020-10-19 19:01:37,25.52,90.22,72.3,89,0,2.48
198,Saint-Philippe,RE,2020-10-19 19:01:37,-21.36,55.77,71.6,78,28,5.82
199,Pacific Grove,US,2020-10-19 19:01:38,36.62,-121.92,64.4,68,1,3.6
200,Sovetskaya Gavan,RU,2020-10-19 19:01:38,48.97,140.29,30.81,85,0,7.61
201,Plyussa,RU,2020-10-19 19:01:38,58.43,29.37,35.24,86,100,7.56
202,Dingle,PH,2020-10-19 18:59:42,11.0,122.67,77.02,89,100,1.32
203,Gaoual,GN,2020-10-19 19:01:38,11.75,-13.2,82.36,65,45,1.36
204,Itoman,JP,2020-10-19 19:01:38,26.12,127.67,78.8,78,20,12.75
205,Taltal,CL,2020-10-19 18:56:49,-25.4,-70.48,65.26,57,22,8.48
206,Vostok,RU,2020-10-19 19:01:26,46.49,135.88,27.01,98,0,2.08
207,Chuy,UY,2020-10-19 19:01:39,-33.7,-53.46,80.69,54,0,5.44
208,Kedrovyy,RU,2020-10-19 19:01:39,56.17,91.82,32.0,93,100,11.18
209,Asau,RO,2020-10-19 19:00:16,46.43,26.4,45.0,81,0,2.24
210,Syamzha,RU,2020-10-19 19:01:39,60.02,41.06,29.75,99,62,5.08
211,Bambous Virieux,MU,2020-10-19 19:01:39,-20.34,57.76,75.2,69,40,11.41
212,Shingu,JP,2020-10-19 19:01:39,33.73,135.98,54.55,75,100,5.64
213,Nisia Floresta,BR,2020-10-19 19:01:40,-6.09,-35.21,84.2,66,40,17.22
214,Severnyy,RU,2020-10-19 19:01:40,50.68,36.55,42.8,93,0,8.95
215,Aden,YE,2020-10-19 19:01:40,12.78,45.04,84.13,58,0,1.86
216,Port Hardy,CA,2020-10-19 19:01:40,50.7,-127.42,52.65,80,96,13.85
217,Mao,ES,2020-10-19 19:00:40,39.89,4.27,62.6,67,20,8.05
218,Kahului,US,2020-10-19 18:59:32,20.89,-156.47,80.6,65,20,6.46
219,Aykhal,RU,2020-10-19 19:01:40,66.0,111.5,14.0,92,90,4.47
220,Kaitangata,NZ,2020-10-19 19:01:12,-46.28,169.85,48.99,78,83,12.35
221,Lasa,IT,2020-10-19 19:01:41,46.62,10.7,42.01,86,5,2.26
222,Aswan,EG,2020-10-19 19:01:41,24.09,32.91,86.14,19,0,12.8
223,Haines Junction,CA,2020-10-19 19:01:41,60.75,-137.51,26.82,76,100,0.49
224,Pyinmana,MM,2020-10-19 19:01:41,19.73,96.22,71.44,91,82,3.11
225,Hare Bay,CA,2020-10-19 19:01:41,48.85,-54.01,56.66,85,100,6.96
226,Crib Point,AU,2020-10-19 19:01:42,-38.35,145.2,43.0,95,10,3.47
227,Saqqez,IR,2020-10-19 19:01:42,36.25,46.27,46.27,52,0,2.91
228,Palauig,PH,2020-10-19 19:01:42,15.44,119.9,80.83,75,100,3.36
229,Minab,IR,2020-10-19 19:01:42,27.15,57.08,69.8,64,0,6.93
230,Cherskiy,RU,2020-10-19 18:59:59,68.75,161.3,17.83,95,0,3.8
231,Grindavik,IS,2020-10-19 19:00:06,63.84,-22.43,37.4,74,100,6.93
232,Limbang,MY,2020-10-19 19:01:42,4.75,115.0,77.0,88,75,2.24
233,Chokurdakh,RU,2020-10-19 19:00:59,70.63,147.92,16.16,98,92,6.51
234,Hudiksvall,SE,2020-10-19 19:01:43,61.73,17.1,33.19,91,90,7.11
235,Ucluelet,CA,2020-10-19 19:01:43,48.93,-125.55,57.0,84,88,5.01
236,Chapais,CA,2020-10-19 19:01:43,49.78,-74.85,36.21,80,78,4.36
237,Seaside,US,2020-10-19 19:01:43,36.61,-121.85,64.4,68,1,4.07
238,Pisco,PE,2020-10-19 19:01:43,-13.7,-76.22,71.6,60,0,14.99
239,Sao Jose Da Coroa Grande,BR,2020-10-19 19:01:43,-8.9,-35.15,78.78,71,99,12.1
240,San Juan,AR,2020-10-19 18:59:17,-31.54,-68.54,83.19,14,0,21.81
241,Sitka,US,2020-10-19 19:01:08,57.05,-135.33,44.6,70,40,5.82
242,Coruripe,BR,2020-10-19 19:01:44,-10.13,-36.18,79.56,69,46,14.14
243,Greensburg,US,2020-10-19 19:01:44,40.3,-79.54,55.99,100,90,3.94
244,Ancud,CL,2020-10-19 19:01:44,-41.87,-73.82,57.0,61,75,6.93
245,Calabozo,VE,2020-10-19 19:01:44,8.92,-67.43,87.8,66,21,2.44
246,Steamboat Springs,US,2020-10-19 19:00:50,40.48,-106.83,61.0,26,1,10.29
247,Uusikaupunki,FI,2020-10-19 19:01:44,60.8,21.41,33.8,79,75,5.82
248,Kamaishi,JP,2020-10-19 19:01:45,39.27,141.88,54.09,65,3,5.66
249,Batticaloa,LK,2020-10-19 19:01:45,7.71,81.69,80.06,76,4,2.53
250,Resistencia,AR,2020-10-19 19:01:45,-27.46,-58.98,102.99,24,0,10.29
251,Vila Velha,BR,2020-10-19 19:01:45,-20.33,-40.29,75.2,78,75,5.82
252,Aktau,KZ,2020-10-19 19:01:03,43.65,51.2,60.8,87,75,6.71
253,Kamenka,RU,2020-10-19 19:01:45,51.32,42.77,45.07,69,98,7.38
254,Obo,CF,2020-10-19 19:01:45,5.4,26.49,70.92,88,98,3.85
255,Waterford,US,2020-10-19 19:01:46,42.7,-83.4,46.4,65,90,2.66
256,Algeciras,ES,2020-10-19 19:01:46,36.13,-5.45,64.4,82,100,12.75
257,Havre-Saint-Pierre,CA,2020-10-19 18:59:54,50.23,-63.6,45.9,77,100,7.49
258,Airai,TL,2020-10-19 19:01:46,-8.93,125.41,60.39,63,0,1.88
259,Jibuti,DJ,2020-10-19 19:01:46,11.5,42.5,87.8,52,1,3.36
260,Umm Lajj,SA,2020-10-19 19:01:46,25.02,37.27,83.01,46,0,4.76
261,Komsomolskiy,UZ,2020-10-19 19:01:46,40.43,71.72,53.6,54,0,2.24
262,Kichmengskiy Gorodok,RU,2020-10-19 19:01:47,59.98,45.79,33.58,92,97,6.08
263,Nanortalik,GL,2020-10-19 19:01:47,60.14,-45.24,37.72,89,89,9.4
264,Vestmannaeyjar,IS,2020-10-19 19:01:47,63.44,-20.27,41.0,80,90,6.93
265,Viedma,AR,2020-10-19 19:00:27,-40.81,-63.0,69.01,23,0,4.0
266,Yanam,IN,2020-10-19 19:01:47,16.73,82.22,77.67,92,100,5.55
267,Catuday,PH,2020-10-19 19:01:48,16.29,119.81,80.58,82,100,7.92
268,Husavik,IS,2020-10-19 18:57:08,66.04,-17.34,37.4,74,75,3.36
269,Buala,SB,2020-10-19 19:00:19,-8.14,159.59,80.58,80,16,4.63
270,Alugan,PH,2020-10-19 19:01:48,12.22,125.48,77.04,89,100,6.17
271,Banff,CA,2020-10-19 19:01:48,51.18,-115.57,37.11,78,89,5.1
272,Pfarrkirchen,DE,2020-10-19 19:01:48,48.43,12.94,43.0,99,2,4.85
273,Arraial Do Cabo,BR,2020-10-19 19:01:48,-22.97,-42.03,77.0,69,40,16.11
274,Yelizavetino,RU,2020-10-19 19:01:49,59.49,29.79,37.4,89,90,8.95
275,Aqtobe,KZ,2020-10-19 19:01:49,50.28,57.21,41.0,38,26,6.71
276,Hithadhoo,MV,2020-10-19 19:01:49,-0.6,73.08,82.76,76,100,9.78
277,Ayaviri,PE,2020-10-19 19:01:49,-14.89,-70.59,60.12,32,83,5.86
278,Fukue,JP,2020-10-19 19:01:49,32.69,128.84,68.07,65,0,18.16
279,Port Augusta,AU,2020-10-19 19:01:49,-32.5,137.77,53.01,87,100,4.7
280,Norman Wells,CA,2020-10-19 19:01:50,65.28,-126.83,19.98,82,8,8.5
281,Hasaki,JP,2020-10-19 19:01:50,35.73,140.83,53.6,93,75,6.93
282,Bam,IR,2020-10-19 19:01:50,29.11,58.36,58.32,22,0,6.15
283,Nikolskoye,RU,2020-10-19 19:01:13,59.7,30.79,37.4,90,90,8.95
284,Nichinan,JP,2020-10-19 19:01:50,31.6,131.37,63.95,77,31,10.49
285,Orange Cove,US,2020-10-19 19:01:50,36.62,-119.31,82.99,29,0,4.14
286,Milkovo,RU,2020-10-19 19:01:51,54.72,158.62,33.13,91,100,6.58
287,Doha,QA,2020-10-19 19:00:01,25.29,51.53,86.0,48,0,8.05
288,Aitape,PG,2020-10-19 19:01:51,-3.14,142.35,77.38,84,58,4.81
289,Antalaha,MG,2020-10-19 19:01:51,-14.9,50.28,75.15,75,89,10.31
290,Rocha,UY,2020-10-19 18:59:35,-34.48,-54.33,84.42,61,53,2.28
291,Mbaiki,CF,2020-10-19 19:01:51,3.87,17.99,71.08,96,100,0.25
292,Seymchan,RU,2020-10-19 19:01:51,62.88,152.43,20.26,95,100,10.98
293,Kishtwar,IN,2020-10-19 19:01:52,33.32,75.77,50.97,41,0,3.4
294,Inuvik,CA,2020-10-19 19:01:14,68.35,-133.72,16.54,96,100,9.71
295,Cabo Rojo,PR,2020-10-19 19:01:52,18.09,-67.15,88.0,72,100,4.0
296,Athabasca,CA,2020-10-19 19:00:04,54.72,-113.29,26.47,79,100,11.01
297,Souillac,MU,2020-10-19 19:01:52,-20.52,57.52,75.2,69,40,11.41
298,Govindgarh,IN,2020-10-19 19:01:52,27.5,76.98,78.48,18,0,3.4
299,Kholmogory,RU,2020-10-19 19:01:53,64.22,41.66,30.2,92,90,6.71
300,Tomigusuku,JP,2020-10-19 19:01:53,26.18,127.67,78.8,78,20,12.75
301,Ngunguru,NZ,2020-10-19 19:01:53,-35.62,174.5,55.0,96,100,1.99
302,Dedovichi,RU,2020-10-19 19:01:53,57.55,29.95,36.16,87,96,11.16
303,Sindor,RU,2020-10-19 19:01:53,62.86,51.89,31.8,99,100,7.09
304,Hamilton,US,2020-10-19 18:57:44,39.18,-84.53,59.0,87,90,5.82
305,Gabu,GW,2020-10-19 19:01:54,12.28,-14.22,83.44,62,0,2.93
